#,PairIdx,Rank,Word1,Word2,Joke,GPT_Score,Mistral_0to4,Mistral_Norm,Final_0to10,Human_Rating
50,5,6,neon,hamster,"Ever notice how after a marathon of midnight snack runs, a hamster’s plastic wheel looks neon? Your eyes just turned the wheel into a personal rave—no electricity required.",5.45,2.12,4.74,5.16,
51,5,7,neon,hamster,What do you call a hamster in a neon-colored wheelchair? A luminous Locomotor.,5.30,2.13,4.76,5.08,
52,5,8,neon,hamster,I bought a dog today and I called him Neon. He's a bit of a hamster.,3.55,2.67,6.12,4.58,
53,5,9,neon,hamster,What do you call a hamster with a glow stick? A neon hamster.,4.10,2.25,4.98,4.45,
54,5,10,neon,hamster,What do you call a hamster in a coma? A semi-conscious rodent.,3.60,2.32,5.17,4.23,
55,5,11,neon,hamster,A hamster with a lisp......is called a thymster.,3.00,2.27,5.02,3.81,
56,6,1,awkward,penguin,"Why was the penguin so awkward at the party? Because every time it tried to break the ice, it slipped on its own tuxedo!",6.65,2.43,5.46,6.17,
57,6,2,awkward,penguin,"Introducing the new yoga pose: the Awkward Penguin, where you balance on one foot while flapping your arms like you’re trying to hail a taxi.",6.60,2.12,4.72,5.85,
58,6,3,awkward,penguin,"My therapist says I should talk to my feelings like an awkward penguin—just keep sliding into the conversation, but remember not to stare at the audience too intensely.",5.70,2.61,5.95,5.80,
59,6,4,awkward,penguin,"Ever notice how an awkward person in a meeting feels like a penguin in a desert—out of place, but still waddling through the questions.",5.70,2.43,5.46,5.61,
60,6,5,awkward,penguin,I saw an awkward penguin trying to fit a snowboard onto its flippers—turns out gravity and tuxedos don’t mix.,5.45,2.42,5.42,5.44,
61,6,6,awkward,penguin,How do you make an awkward penguin? Put a bow tie on a penguin,5.15,2.17,4.83,5.02,
62,6,7,awkward,penguin,I think I want to write a joke about an awkward penguin. I'll start with the setup:  What do you call an awkward penguin?,4.90,2.27,5.02,4.95,
63,6,8,awkward,penguin,What do you call an awkward penguin? A constipated penguin.,4.05,2.26,5.00,4.43,
64,6,9,awkward,penguin,How do you embarrass an awkward penguin? Give him a birthday present.,3.05,2.27,5.02,3.84,
65,6,10,awkward,penguin,What do you call an awkward penguin? A poorly gliding on the ice.,2.80,2.29,5.08,3.71,
66,6,11,awkward,penguin,"BREAKING NEWS: In a press media briefing, United Airlines CEO Oscar Munoz has stated... ""Since we cannot beat our competitors, we have resorted to beating our customers"".",2.65,1.90,4.24,3.29,
67,7,1,electric,spaghetti,I tried to plug my dinner into the wall—turns out electric spaghetti just gives you a shocking al dente.,7.90,2.31,5.15,6.80,
68,7,2,electric,spaghetti,The new Italian restaurant offers a ‘Volt‑agnese’—a sauce so electric that your spaghetti literally glows in the dark.,7.90,1.95,4.39,6.49,
69,7,3,electric,spaghetti,"When the chef said his spaghetti was ‘electrified,’ I thought he meant it was exciting; turns out he just added a little static charge to keep the sauce from slipping off the fork.",7.70,1.97,4.41,6.39,
70,7,4,electric,spaghetti,Ever notice how tangled headphones are like a plate of cold electric spaghetti—both promise connectivity but leave you frustrated and slightly tingling?,6.90,2.40,5.37,6.29,
71,7,5,electric,spaghetti,"In the future, the city’s power grid will be run by giant vats of electric spaghetti, because nothing powers a light bulb like a noodle that can conduct current.",6.20,2.38,5.32,5.85,
72,7,6,electric,spaghetti,You should really make sure your pasta is well grounded before you put it in a blender.  Because you don't want to have any pasta explosions.,5.90,2.05,4.59,5.38,
73,7,7,electric,spaghetti,What did the electric spaghetti say when it got fried? It's a little pasta.,4.80,2.27,5.02,4.89,
74,7,8,electric,spaghetti,What did the electric pasta say? Shock and pasta.,4.50,2.24,4.95,4.68,
75,7,9,electric,spaghetti,"A guy walks into a bar...... and asks for a whiskey, electric spaghetti and a meatball. The bartender says, ""What's electric spaghetti?"" The guy says, ""It's spaghetti with a meatball on top, but it's electric.""",4.10,2.25,4.98,4.45,
76,7,10,electric,spaghetti,I once ate electric spaghetti It gave me the fright of my life,2.80,2.52,5.71,3.97,
77,7,11,electric,spaghetti,A hot dish  ->  A sizzling skillet   &nbsp;   A spicy pasta  ->  A fiery lasagna   &nbsp;   An electric noodle  ->  A shocking spaghetti   &nbsp;   A charged cannoli  ->  An electrifying cannoli   &nbsp;   A pasta e pizza  ->  A pizza and pasta   &nbsp;   A saucy situation  ->  A pasta sauce   &nbsp;   A cheesy pie  ->  A cheesy pizza   &nbsp;   A pepperoni pizza  ->  A spicy pizza   &nbsp;   A saucy pie  ->  A tomato pie   &nbsp;   An electric spaghetti  ->  A shocking lasagna,2.80,2.01,4.52,3.49,
78,8,1,dramatic,cactus,"I tuned into a desert soap opera where the cactus gave a dramatic soliloquy about feeling misunderstood, while the tumbleweeds offered a standing ovation.",6.45,2.44,5.48,6.06,
79,8,2,dramatic,cactus,Why did the cactus audition for the play? It heard the part was highly dramatic and loved the idea of delivering a prickly monologue.,6.35,2.11,4.71,5.69,
80,8,3,dramatic,cactus,"A cactus is the ultimate dramatic roommate: one tiny poke and it throws a whole show of thorns, sighs, and silent judging.",5.80,2.36,5.26,5.58,
81,8,4,dramatic,cactus,"If moods were plants, my dramatic feelings would be a cactus—every sigh sprouts a spine of sarcasm, and hugging it is strictly prohibited.",5.80,2.32,5.15,5.54,
82,8,5,dramatic,cactus,What do you call a cactus that's been in an accident? A punctured drama cactus.,5.85,2.19,4.86,5.45,
83,8,6,dramatic,cactus,"The most dramatic thing about a cactus is its dedication to staying sharp even when life pots it, turning every sunny day into a performance of prickly poise.",5.55,2.03,4.57,5.16,
84,8,7,dramatic,cactus,"What's the difference between a cactus and a drama queen? One has thorns and is full of surprises, the other has a period and is full of drama.",5.05,2.36,5.27,5.14,
85,8,8,dramatic,cactus,My girlfriend broke up with me today. So I took a bus full of clowns and crashed it into her house. The principle of auto-correct.,3.70,2.50,5.65,4.48,
86,8,9,dramatic,cactus,A dramatic cactus is like a prickly friend. It's hard to get close to them. They're full of thorns. And they'll leave you feeling like a puncture victim.,4.00,2.24,4.97,4.39,
87,8,10,dramatic,cactus,"A dramatic cactus......is like a prickly person.   It has a lot of thorns and is hard to get close to.   People tend to stay away from it.   But it's not all bad; it has beautiful flowers.   If you can get past the thorns, you'll find that it has a lot to offer.   Just be careful not to get too close.   It has a history of attacking people who get too close.",3.80,2.22,4.93,4.25,
88,8,11,dramatic,cactus,"A man walks into a bar with a loaded gun and a cactus and yells, ""Anyone who moves gets shot, and anyone who doesn't gets stabbed!"" The bartender says, ""Jesus Christ! I'm going to call the cops!""",2.85,2.64,6.02,4.12,
89,9,1,confused,astronaut,A confused astronaut tried filing his taxes with a meteor and was told you can’t claim a shooting star as a dependent.,6.90,2.68,6.14,6.60,
90,9,2,confused,astronaut,"The confused astronaut kept looking for the space bar, but all he found were actual bars floating in zero‑gravity.",7.00,2.35,5.24,6.29,
91,9,3,confused,astronaut,"The confused astronaut tried meditation and kept asking, “Am I a man, a meteor, or just a floating question mark?”",6.30,2.48,5.61,6.02,
92,9,4,confused,astronaut,"When the commander said “We’re doing a moonwalk,” the confused astronaut started hunting for shoes.",6.20,2.21,4.91,5.68,
93,9,5,confused,astronaut,Seeing a confused astronaut at the launch pad is like watching anyone stuck in rush hour—except his GPS keeps saying “recalculating… to orbit.”,6.20,2.12,4.72,5.61,
94,9,6,confused,astronaut,"Confused Astronaut Astronauts are so brave. I mean, they are willing to die in a spacey crash just to see what happens next.",5.20,2.46,5.54,5.34,
95,9,7,confused,astronaut,Why did the astronaut get confused? Because he lost his marbles.,5.00,2.46,5.53,5.21,
96,9,8,confused,astronaut,Confused astronaut. Why did you send a dog to mars? It was either dog or astronaut.,4.20,2.35,5.24,4.61,
97,9,9,confused,astronaut,"Confused astronaut. What does he see when he looks out the window? ""Really sorry.""",4.20,2.23,4.95,4.50,
98,9,10,confused,astronaut,A confused astronaut floats in space A starstruck teenager floats in space.,2.90,2.50,5.65,4.00,
99,9,11,confused,astronaut,What is a spaceship and a computer and a car and a bike and a bus and a submarine and a train and a helicopter and a plane and a boat and a bicycle and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine and a helicopter and a submarine,1.60,2.07,4.63,2.81,
100,10,1,rubber,tornado,"Imagine a tornado made of rubber: it spins forever, every gust ends with a squeak, and the only debris is over‑inflated balloon animals.",7.20,2.63,6.00,6.72,
101,10,2,rubber,tornado,A rubber duck entered a tornado and emerged as a 'twist‑quacker'—a squeaky cyclone that leaves a trail of bubbles wherever it lands.,7.05,2.26,5.01,6.23,
102,10,3,rubber,tornado,"I tried to calm a tornado with a rubber band, but the wind just gave me a snap‑back—nature’s ultimate twist on 'elastic'.",6.60,2.49,5.63,6.21,
103,10,4,rubber,tornado,Meteorologists now warn about ‘rubber tornadoes’: winds that don’t tear roofs off but leave every parked car with brand‑new squeaky tires.,6.40,2.42,5.43,6.01,
104,10,5,rubber,tornado,The only time my backyard feels like a tornado is when I roll out the rubber mulch after a rainstorm—it whips around faster than my kids can chase it.,5.50,2.68,6.12,5.75,
105,10,6,rubber,tornado,"What's the difference between a tornado in Alabama and a divorce in Alabama? One is a whirlwind, the other is a rubber tornado.",4.40,2.41,5.40,4.80,
106,10,7,rubber,tornado,A tornado in a tire shop. They're all over the place.,4.10,2.57,5.84,4.80,
107,10,8,rubber,tornado,I used to work at the rubber factory. But they downgraded me to make way for the new tournado.,3.85,2.41,5.40,4.47,
108,10,9,rubber,tornado,"A rubber balloon and a glass of water are in a room. The balloon says, ""You're in for a shock.""",2.75,2.79,6.44,4.23,
109,10,10,rubber,tornado,What do you call a tornado in a casino? A rube-gullible.,3.20,2.32,5.16,3.98,
110,10,11,rubber,tornado,What do you call a tornado in the Middle East? A whirlwind.,2.90,2.34,5.21,3.82,
111,11,1,invisible,taco,"My diet includes an invisible taco: I can see I’m not eating it, yet my stomach still hears the satisfying crunch.",7.40,2.51,5.67,6.71,
112,11,2,invisible,taco,"Scientists tried to create an invisible taco for stealth meals, but the only thing it concealed was the calories, not the crunch.",7.40,2.31,5.13,6.49,
113,11,3,invisible,taco,The only thing more mysterious than a teenager’s mood is an invisible taco—both vanish just when you’re ready to eat.,6.75,2.32,5.16,6.12,
114,11,4,invisible,taco,"I ordered an invisible taco; the waiter said it's on the house—because you can’t see it, you can’t charge it.",6.55,2.43,5.46,6.11,
115,11,5,invisible,taco,"In the secret society of tacos, the grandmaster is an invisible taco that whispers salsa secrets nobody can taste.",6.75,2.21,4.90,6.01,
116,11,6,invisible,taco,I'm invisible. I'm going to the taco bell.  I'm going to order 10 tacos.  They'll never fucking take me!,5.75,2.35,5.25,5.55,
117,11,7,invisible,taco,I can't see the invisible taco... But I can smell the nachos,5.55,2.32,5.15,5.39,
118,11,8,invisible,taco,What did the invisible taco say to the cashier?  Give me everything.,4.75,2.40,5.39,5.00,
119,11,9,invisible,taco,What's an invisible taco? A tortilla.,3.90,2.28,5.05,4.36,
120,11,10,invisible,taco,If a tree falls in the forest and no one is around to hear it......then my illegal logging business is a success.,2.00,2.46,5.54,3.42,
121,11,11,invisible,taco,"You can't really blame Donald Trump for not believing in climate change. I mean, he's invisible.",2.00,2.41,5.42,3.37,
122,12,1,sarcastic,dolphin,"A therapist once prescribed a sarcastic dolphin for my anxiety; every session ended with it flippantly saying, ""Just keep swimming, or don’t—your call,"" while handing me a kelp‑shaped stress ball.",7.10,2.57,5.83,6.59,
123,12,2,sarcastic,dolphin,"In the underwater courtroom, the sarcastic dolphin acted as judge, flipping his flippers and declaring, ""I’m sorry, your case is…flippin’ adorable, but I’m too busy making bubbles.""",7.10,2.41,5.40,6.42,
124,12,3,sarcastic,dolphin,"If being sarcastic were a sport, the dolphin would be its mascot—spouting witty one‑liners while doing somersaults, proving that even oceanic humor can have a splashy delivery.",6.90,2.18,4.84,6.08,
125,12,4,sarcastic,dolphin,"The dolphin gave a sarcastic splash, muttering, ""Great, another human trying to teach me to fetch; as if I don’t already have a PhD in sea‑saying.""",6.70,2.15,4.79,5.94,
126,12,5,sarcastic,dolphin,"Ever notice how a dolphin’s click‑echoes sound like a sarcastic friend who just heard the same joke for the hundredth time? They both say, ""Wow, really?"" in perfect sync.",5.80,2.23,4.95,5.46,
127,12,6,sarcastic,dolphin,What do you call a sarcastic dolphin? A sea-troll.,5.25,2.26,5.00,5.15,
128,12,7,sarcastic,dolphin,I'm a sarcastic dolphin. I'm swimming in circles.,4.00,2.54,5.76,4.70,
129,12,8,sarcastic,dolphin,Why did the sarcastic dolphin kill himself? He was having a whale of a time.,3.70,2.53,5.72,4.51,
130,12,9,sarcastic,dolphin,BREAKING NEWS: An entire shipment of Viagra has been stolen The police is looking for a gang of hardened criminals,2.60,2.43,5.46,3.74,
131,12,10,sarcastic,dolphin,What's the difference between a sarcastic dolphin and an optimistic octopus? One is a sarcastic dolphin and the other is a optimistic octopus.,2.35,2.32,5.16,3.48,
132,12,11,sarcastic,dolphin,"What do you get if you cross a computer with a dolphin? Nothing, you can't cross a computer with a dolphin.",2.10,2.34,5.22,3.35,
133,13,1,haunted,calculator,"I bought a haunted calculator.  It still works, but it keeps giving me 666 for everything.",6.50,2.67,6.11,6.34,
134,13,2,haunted,calculator,"I asked my haunted calculator how many cups of sugar for a ghost cake, and it replied “π‑spirit”—now I’m baking with irrational scares.",7.00,2.37,5.30,6.32,
135,13,3,haunted,calculator,Ever notice how a haunted calculator is the only device that cries when you press “clear”—it’s mourning all the numbers you just erased.,6.60,2.51,5.68,6.23,
136,13,4,haunted,calculator,My haunted calculator keeps adding a “boo” after every sum—it thinks it’s doing ghost‑addition.,6.60,2.48,5.59,6.20,
137,13,5,haunted,calculator,"The haunted calculator doesn’t just solve equations; it solves lingering regrets, and every solution comes with a sigh that sounds like a phantom sigh.",6.90,2.25,4.97,6.13,
138,13,6,haunted,calculator,"In the attic, a haunted calculator rattles its keys and whispers, “I’m counting the dead, one moan at a time.”",6.30,2.34,5.22,5.87,
139,13,7,haunted,calculator,My new girlfriend broke up with me. So I took her back. That's the last time I try to use a haunted calculator.,3.80,2.70,6.20,4.76,
140,13,8,haunted,calculator,My friend is making a lot of easy money by selling pictures of haunted calculators. It’s like shooting fish in apparel.,3.60,2.56,5.82,4.49,
141,13,9,haunted,calculator,"My friend developed a strange addiction and drinks brake fluid. When I warned him of the dangers, He said "" No worries, I can stop anytime.""",2.70,3.02,7.05,4.44,
142,13,10,haunted,calculator,I am a haunted calculator.  I am possessed.  I have many demons.  I am a calculator.,3.60,2.40,5.37,4.31,
143,13,11,haunted,calculator,"A calculator walks into a bar. The bartender says, ""We don't serve super calculators."" The calculator says, ""But I'm not super.""",2.60,2.68,6.14,4.01,
144,14,1,spicy,cloud,"The weather report said 'spicy clouds incoming,' which turned out to be just a hot‑air balloon scented with jalapeño.",6.80,2.32,5.15,6.14,
145,14,2,spicy,cloud,"In the sky’s kitchen, clouds simmer in a cauldron of chili oil, so every lightning bolt arrives with a side of fire‑breathing salsa.",6.70,2.02,4.54,5.83,
146,14,3,spicy,cloud,"Imagine a cloud that decided to become a salsa dancer—each swirl drops a spicy drizzle of rain, giving the ground a mild‑heat makeover.",6.25,2.24,4.96,5.73,
147,14,4,spicy,cloud,"I tried to upload a 'spicy' meme to the cloud, but it got a cold boot and turned into a mild‑flavored vapor.",5.50,2.38,5.31,5.42,
148,14,5,spicy,cloud,You know a taco is too spicy when the steam rising from it looks more like a tiny cloud than a sigh.,5.35,2.17,4.82,5.14,
149,14,6,spicy,cloud,My therapist told me to write letters to all the people I hate and then burn them. I don’t know what to do with all these letters now.,3.10,2.83,6.55,4.48,
150,14,7,spicy,cloud,"A spicy cloud, a cloud with peppers, a chili cloud.",2.80,2.12,4.73,3.57,
151,14,8,spicy,cloud,"The Clouds are saying, ""Hey, look! That guy is making clouds!""  ""Hey, look! That guy is making clouds!""  ""Hey, look! That guy is making clouds!""",1.90,2.37,5.29,3.25,
152,14,9,spicy,cloud,I used to date this girl that had a twin. People kept asking me how can you tell them apart. Easy.  Jill paints her nails purple. John has a dick.,2.00,2.28,5.07,3.23,
153,14,10,spicy,cloud,What did the cloud say to the sun? You're hot.  Edit: Wow! Thanks for the awards stranger.,1.90,2.28,5.05,3.16,
154,14,11,spicy,cloud,A spicy Italian dish. A nice meal.  Cloud 9.,2.35,1.84,4.10,3.05,
155,16,1,disco,librarian,"When the librarian turned the reading room into a disco, the Dewey Decimal System became a dance floor: 500s were funky physics, 800s were smooth opera, and the only fine was a missed dance step.",8.20,2.48,5.58,7.15,
156,16,2,disco,librarian,"The librarian opened a disco because she heard the stacks needed a good ""record"" spin, and now overdue notices come with glittery 12‑inch sleeves.",7.20,2.61,5.94,6.70,
157,16,3,disco,librarian,"In the galaxy’s quietest library, the disco lights pulse to the whisper of overdue fees, so the librarian moonwalks between aisles while shouting, ""Shh… and stay on beat!""",7.60,2.26,5.01,6.56,
158,16,4,disco,librarian,The new Dis‑co‑tionary app lets you check out dance moves like books; the librarian stamps your groove with a glittery due date and a fine for any missed spin.,8.20,1.74,3.85,6.46,
159,16,5,disco,librarian,"You know you're a librarian at a disco when the bass drops louder than the librarian’s whisper, and the only thing louder than the music is the reminder, ""Please return your vinyls on time!""",7.20,2.09,4.67,6.19,
160,16,6,disco,librarian,"I asked my librarian if she had a book on paranoia. She said, ""It's right behind you!""  I screamed, ""My god, you're a librarian!""",4.60,2.71,6.21,5.24,
161,16,7,disco,librarian,What does a disco librarian say? Check it out!,5.40,2.16,4.81,5.16,
162,16,8,disco,librarian,A librarian walks into a bar... The bar is filled with disco balls.  The librarian is filled with disco balls.  She's had too much to drink.  She's never seen so many disco balls in her life.  She's never seen so many balls in her life.  She's never seen so much glitter in her life.  She's covered in glitter.  She has glitter all over her face.  She has glitter all over her body.,3.80,2.76,6.34,4.82,
163,16,9,disco,librarian,What do you call a librarian who breaks out of jail? A free book.,3.80,2.44,5.48,4.47,
164,16,10,disco,librarian,"The Librarian: ""Can I help you?"" Man: ""Yes, I'd like to check out the new book about the disco era.""  Librarian: ""We don't have that book yet.""  Man: ""But I saw it on the shelf.""  Librarian: ""You must be a man of principle.""",3.50,2.47,5.57,4.33,
165,16,11,disco,librarian,What does a disco librarian say? *Shh*,2.50,2.22,4.92,3.47,
166,17,1,lonely,robot,"My lonely robot asked for a friend, so I gave it a charging cable—now it’s constantly surrounded by ‘current’ companions.",7.20,2.81,6.48,6.91,
167,17,2,lonely,robot,"Ever notice how a lonely robot is the only coworker who never steals your lunch, because it can’t even open the fridge without a firmware update?",7.40,2.52,5.71,6.72,
168,17,3,lonely,robot,"The lonely robot started a meditation class for appliances, teaching them to find inner peace by turning themselves off and on again.",7.40,2.48,5.59,6.68,
169,17,4,lonely,robot,"Why did the lonely robot keep a diary? It wanted to log its feelings, but every entry ended up in binary—it just couldn’t express itself in plain text.",7.50,2.08,4.65,6.36,
170,17,5,lonely,robot,"A lonely robot walked into a karaoke bar, sang ‘I’m a Little Tin Man’ and then rebooted because the applause was just static.",6.40,2.41,5.40,6.00,
171,17,6,lonely,robot,I'm a lonely robot. I don't have any friends. I just have a lot of acquaintances. I know them all too well.,4.60,2.95,6.87,5.51,
172,17,7,lonely,robot,"A lonely robot walks into a bar. The bartender says, ""We don't serve robots."" The robot replies, ""Oh, but someday you will.""",4.70,2.83,6.54,5.43,
173,17,8,lonely,robot,What's a robot's favorite dish? A lonesome pizza.,4.60,2.50,5.66,5.02,
174,17,9,lonely,robot,A robot walks into a bar. The robot finds it lonely.,4.00,2.76,6.35,4.94,
175,17,10,lonely,robot,A lonely robot A robot with no friends.,2.90,2.81,6.50,4.34,
176,17,11,lonely,robot,"BREAKING: Stevie Wonder suffers major laceration in horrible accident The wound too big for regular stitches, doctors were forced to use very super stitches",1.20,1.27,2.68,1.79,
177,18,1,caffeinated,squirrel,"I walked into a forest and saw a caffeinated squirrel conducting a rave for the acorns, complete with tiny turntables and jittery beats.",7.10,2.49,5.62,6.51,
